institution,rank_2025,cycle,party,committee_type,total
Clark,132,2012,DEM,S,2300.0
Clark,132,2012,DEM,Y,500.0
Clark,132,2016,DEM,H,200.0
Clark,132,2016,DEM,P,4695.0
Clark,132,2016,DEM,S,1100.0
Clark,132,2016,DEM,Y,784.0
Clark,132,2020,DEM,H,1744.0
Clark,132,2020,DEM,P,8216.0
Clark,132,2020,DEM,S,34345.0
Clark,132,2020,DEM,Y,50180.0
Clark,132,2024,DEM,H,5325.0
Clark,132,2024,DEM,S,5875.0
Clark,132,2024,DEM,Y,1850.0
Clarkson,152,2008,DEM,H,500.0
Clarkson,152,2008,REP,Y,201.0
Clarkson,152,2012,DEM,H,500.0
Clarkson,152,2012,DEM,S,250.0
Clarkson,152,2012,REP,H,1000.0
Clarkson,152,2016,DEM,P,729.0
Clarkson,152,2016,DEM,Y,400.0
Clarkson,152,2016,REP,H,300.0
Clarkson,152,2016,REP,P,145.0
Clarkson,152,2020,DEM,P,277.0
Clarkson,152,2020,DEM,S,100.0
Clarkson,152,2020,DEM,Y,150.0
Clarkson,152,2020,REP,H,350.0
Clarkson,152,2020,REP,S,300.0
Clarkson,152,2024,DEM,H,400.0
Clarkson,152,2024,DEM,Y,450.0
Clarkson,152,2024,REP,H,31.0
Clemson,80,2008,DEM,S,2250.0
Clemson,80,2008,DEM,Y,2400.0
Clemson,80,2008,REP,Y,200.0
Clemson,80,2012,DEM,H,500.0
Clemson,80,2012,DEM,S,1050.0
Clemson,80,2012,DEM,Y,1950.0
Clemson,80,2012,REP,Y,500.0
Clemson,80,2016,DEM,H,974.0
Clemson,80,2016,DEM,P,2761.0
Clemson,80,2016,DEM,Y,2462.0
Clemson,80,2016,REP,S,500.0
Clemson,80,2016,REP,Y,763.0
Clemson,80,2020,DEM,H,1900.0
Clemson,80,2020,DEM,P,5206.0
Clemson,80,2020,DEM,S,16591.0
Clemson,80,2020,DEM,Y,94442.0
Clemson,80,2020,REP,H,259.0
