institution,rank_2025,cycle,party,committee_type,total
Purdue,46,2008,DEM,V,1100.0
Purdue,46,2008,DEM,Y,8008.0
Purdue,46,2008,REP,Y,2420.0
RIT,91,2008,DEM,H,1150.0
RIT,91,2008,DEM,S,200.0
RIT,91,2008,DEM,V,1150.0
RIT,91,2008,DEM,Y,550.0
RPI,70,2008,DEM,S,700.0
RPI,70,2008,REP,H,1000.0
RPI,70,2008,REP,Y,500.0
Rice,18,2008,DEM,H,250.0
Rice,18,2008,DEM,S,2550.0
Rice,18,2008,DEM,V,1450.0
Rice,18,2008,DEM,Y,13255.0
Rice,18,2008,REP,S,200.0
Rice,18,2008,REP,Y,1250.0
Rochester,44,2008,DEM,H,20950.0
Rochester,44,2008,DEM,V,11200.0
Rochester,44,2008,DEM,Y,3100.0
Rochester,44,2008,REP,H,500.0
Rochester,44,2008,REP,Y,750.0
Rutgers,41,2008,DEM,H,2150.0
Rutgers,41,2008,DEM,S,11550.0
Rutgers,41,2008,DEM,V,5000.0
Rutgers,41,2008,DEM,Y,38316.0
Rutgers,41,2008,REP,H,6149.0
Rutgers,41,2008,REP,S,1000.0
Rutgers,41,2008,REP,Y,500.0
Rutgers Camden,98,2008,DEM,V,250.0
Rutgers Newark,80,2008,DEM,V,300.0
SMU,91,2008,DEM,V,750.0
SMU,91,2008,DEM,Y,2700.0
SMU,91,2008,REP,S,1000.0
SMU,91,2008,REP,Y,920.0
Saint Louis,105,2008,DEM,V,750.0
Saint Louis,105,2008,DEM,Y,1284.0
Saint Louis,105,2008,REP,Y,1550.0
San Diego,109,2008,DEM,S,200.0
San Diego,109,2008,DEM,Y,1908.0
San Diego St,109,2008,DEM,Y,2000.0
San Francisco,109,2008,DEM,H,3400.0
San Francisco,109,2008,DEM,V,250.0
San Francisco,109,2008,DEM,Y,12500.0
San Francisco,109,2008,REP,Y,300.0
Santa Clara,63,2008,DEM,H,3200.0
Santa Clara,63,2008,DEM,Y,1450.0
South Carolina,121,2008,DEM,S,3000.0
South Carolina,121,2008,DEM,V,600.0
South Carolina,121,2008,DEM,Y,34400.0
South Carolina,121,2008,REP,H,250.0
South Carolina,121,2008,REP,Y,1000.0
Stanford,4,2008,DEM,H,53951.0
Stanford,4,2008,DEM,S,5840.0
Stanford,4,2008,DEM,V,52300.0
Stanford,4,2008,DEM,Y,137869.0
Stanford,4,2008,REP,S,2300.0
Stanford,4,2008,REP,Y,6850.0
Stevens Inst Tech,76,2008,DEM,Y,250.0
Stony Brook,58,2008,DEM,H,750.0
Stony Brook,58,2008,DEM,Y,1700.0
Syracuse,73,2008,DEM,S,600.0
Syracuse,73,2008,DEM,Y,3832.0
Syracuse,73,2008,REP,H,1500.0
Syracuse,73,2008,REP,S,1000.0
Syracuse,73,2008,REP,Y,900.0
TCU,105,2008,DEM,V,250.0
TCU,105,2008,DEM,Y,200.0
TCU,105,2008,REP,H,700.0
TCU,105,2008,REP,Y,200.0
Temple,98,2008,DEM,H,500.0
Temple,98,2008,DEM,S,4500.0
Temple,98,2008,DEM,V,2350.0
Temple,98,2008,DEM,Y,8528.0
Temple,98,2008,REP,Y,2950.0
Tennessee,109,2008,DEM,H,3450.0
Tennessee,109,2008,DEM,S,250.0
Tennessee,109,2008,DEM,V,450.0
Tennessee,109,2008,DEM,Y,3505.0
Tennessee,109,2008,REP,S,250.0
Tennessee,109,2008,REP,Y,3826.0
Texas A&M,51,2008,DEM,H,3255.0
Texas A&M,51,2008,DEM,S,1000.0
Texas A&M,51,2008,DEM,V,2550.0
Texas A&M,51,2008,DEM,Y,2400.0
Texas A&M,51,2008,REP,H,200.0
Texas A&M,51,2008,REP,S,4105.0
Texas A&M,51,2008,REP,Y,4900.0
Thomas Jefferson,136,2008,DEM,S,750.0
Thomas Jefferson,136,2008,DEM,Y,2500.0
Thomas Jefferson,136,2008,REP,Y,550.0
Tufts,37,2008,DEM,H,7550.0
Tufts,37,2008,DEM,S,17550.0
Tufts,37,2008,DEM,V,14050.0
Tufts,37,2008,DEM,Y,59112.0
Tufts,37,2008,REP,H,2000.0
Tulane,63,2008,DEM,H,750.0
Tulane,63,2008,DEM,V,950.0
Tulane,63,2008,DEM,Y,3737.0
Tulane,63,2008,REP,H,1250.0
Tulane,63,2008,REP,Y,500.0
U of Miami,63,2008,DEM,H,9100.0
U of Miami,63,2008,DEM,S,2550.0
U of Miami,63,2008,DEM,V,5450.0
U of Miami,63,2008,DEM,Y,7716.0
U of Miami,63,2008,REP,H,3650.0
U of Miami,63,2008,REP,Y,7525.0
UAB,136,2008,DEM,H,500.0
UAB,136,2008,DEM,V,250.0
UAB,136,2008,DEM,Y,2525.0
UAB,136,2008,REP,S,5650.0
UAB,136,2008,REP,Y,1500.0
UC Berkeley,17,2008,DEM,H,16155.0
UC Berkeley,17,2008,DEM,S,4900.0
UC Berkeley,17,2008,DEM,V,7500.0
UC Berkeley,17,2008,DEM,Y,45720.0
UC Berkeley,17,2008,REP,Y,1225.0
UC Davis,33,2008,DEM,H,12750.0
UC Davis,33,2008,DEM,V,6800.0
UC Davis,33,2008,DEM,Y,9783.0
UC Davis,33,2008,REP,Y,460.0
UC Irvine,33,2008,DEM,H,2750.0
UC Irvine,33,2008,DEM,S,1500.0
UC Irvine,33,2008,DEM,V,2000.0
UC Irvine,33,2008,DEM,Y,6955.0
UC Irvine,33,2008,REP,Y,1250.0
UC Riverside,76,2008,DEM,V,700.0
UC San Diego,29,2008,DEM,H,250.0
UC San Diego,29,2008,DEM,V,850.0
UC San Diego,29,2008,DEM,Y,3451.0
UC Santa Barbara,39,2008,DEM,H,1650.0
UC Santa Barbara,39,2008,DEM,Y,250.0
UC Santa Barbara,39,2008,REP,H,300.0
UC Santa Barbara,39,2008,REP,Y,1620.0
UC Santa Cruz,84,2008,DEM,Y,1000.0
UCF,121,2008,DEM,H,250.0
UCF,121,2008,DEM,S,500.0
UCF,121,2008,DEM,Y,1000.0
UCF,121,2008,REP,Y,950.0
UCLA,15,2008,DEM,H,5250.0
UCLA,15,2008,DEM,S,12615.0
UCLA,15,2008,DEM,V,16200.0
UCLA,15,2008,DEM,Y,122825.0
UCLA,15,2008,REP,H,4850.0
UCLA,15,2008,REP,S,250.0
UCLA,15,2008,REP,Y,5361.0
UMBC,144,2008,DEM,H,250.0
UMBC,144,2008,DEM,Y,8000.0
UMass Amherst,58,2008,DEM,V,500.0
USC,27,2008,DEM,H,6000.0
USC,27,2008,DEM,S,9050.0
USC,27,2008,DEM,V,8650.0
USC,27,2008,DEM,Y,19709.0
USC,27,2008,REP,Y,14880.0
USF,91,2008,DEM,H,9550.0
USF,91,2008,DEM,V,1250.0
USF,91,2008,DEM,Y,3140.0
USF,91,2008,REP,H,750.0
USF,91,2008,REP,S,200.0
USF,91,2008,REP,Y,3225.0
UT Austin,30,2008,DEM,H,2500.0
UT Austin,30,2008,DEM,V,7450.0
UT Austin,30,2008,DEM,Y,9841.0
UT Dallas,109,2008,DEM,H,500.0
UT Dallas,109,2008,DEM,S,500.0
UT Dallas,109,2008,DEM,V,500.0
UT Dallas,109,2008,REP,S,1500.0
UW Madison,39,2008,DEM,H,18300.0
UW Madison,39,2008,DEM,S,8250.0
UW Madison,39,2008,DEM,V,4600.0
UW Madison,39,2008,DEM,Y,13290.0
UW Madison,39,2008,REP,Y,300.0
Univ at Albany,121,2008,DEM,V,1300.0
Univ at Albany,121,2008,DEM,Y,1250.0
Univ at Buffalo,76,2008,DEM,V,2000.0
Univ at Buffalo,76,2008,DEM,Y,250.0
Univ at Buffalo,76,2008,REP,Y,750.0
Utah,136,2008,DEM,H,4050.0
Utah,136,2008,DEM,S,2400.0
Utah,136,2008,DEM,V,1600.0
Utah,136,2008,DEM,Y,8721.0
Utah,136,2008,REP,H,200.0
Utah,136,2008,REP,Y,1670.0
VCU,136,2008,DEM,H,500.0
VCU,136,2008,DEM,S,10550.0
VCU,136,2008,DEM,V,3550.0
VCU,136,2008,DEM,Y,8597.0
VCU,136,2008,REP,H,250.0
VCU,136,2008,REP,S,1000.0
VCU,136,2008,REP,Y,2660.0
Vanderbilt,18,2008,DEM,H,1000.0
Vanderbilt,18,2008,DEM,V,5200.0
Vanderbilt,18,2008,DEM,Y,20850.0
Vanderbilt,18,2008,REP,H,3500.0
Vanderbilt,18,2008,REP,S,1750.0
Vanderbilt,18,2008,REP,Y,2400.0
Vermont,121,2008,DEM,V,350.0
Vermont,121,2008,DEM,Y,1800.0
Villanova,58,2008,DEM,S,655.0
Villanova,58,2008,DEM,V,2550.0
Villanova,58,2008,DEM,Y,550.0
Villanova,58,2008,REP,H,450.0
Virginia,24,2008,DEM,H,2100.0
Virginia,24,2008,DEM,S,25200.0
Virginia,24,2008,DEM,V,9300.0
Virginia,24,2008,DEM,Y,28576.0
Virginia,24,2008,REP,Y,5400.0
Virginia Tech,51,2008,DEM,H,500.0
WPI,86,2008,DEM,H,1250.0
WPI,86,2008,DEM,S,4600.0
WPI,86,2008,DEM,V,1750.0
WPI,86,2008,DEM,Y,1696.0
Wake Forest,46,2008,DEM,V,3650.0
Wake Forest,46,2008,DEM,Y,55716.0
Wake Forest,46,2008,REP,H,3500.0
Wake Forest,46,2008,REP,Y,6150.0
Washington,46,2008,DEM,H,2250.0
Washington,46,2008,DEM,S,8950.0
Washington,46,2008,DEM,V,6000.0
Washington,46,2008,DEM,Y,39931.0
Washington,46,2008,REP,H,250.0
Washington,46,2008,REP,S,1000.0
Washington,46,2008,REP,Y,650.0
Washington Univ,21,2008,DEM,V,250.0
Washington Univ,21,2008,DEM,Y,750.0
William & Mary,54,2008,DEM,S,4900.0
William & Mary,54,2008,DEM,Y,30980.0
Yale,5,2008,DEM,H,19050.0
Yale,5,2008,DEM,S,8870.0
Yale,5,2008,DEM,V,11250.0
Yale,5,2008,DEM,Y,89518.0
Yale,5,2008,REP,H,1250.0
Yale,5,2008,REP,S,500.0
Yale,5,2008,REP,Y,300.0
Yeshiva,98,2008,DEM,Y,5611.0
Yeshiva,98,2008,REP,Y,28500.0
